building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_057,building_274,4.6392187422,48.5856494727,10.4728084992
building_058,building_092,28.6443634583,109.291825812,3.8154740625
building_058,building_198,30.4781415587,105.593153894,3.4645535618
building_058,building_213,11.3363885859,62.8495735553,5.5440560351
building_058,building_220,26.8526066319,98.5356901826,3.6695018675
building_058,building_238,27.4662284362,98.8702324361,3.599701818
building_058,building_250,9.4537801816,57.4785478203,6.0799539143
building_058,building_257,31.2967426946,104.1745235516,3.3286059373
building_060,building_086,5.5960752869,40.7350788445,7.2792228046
building_060,building_220,31.5428237306,117.4467640477,3.7234067898
building_060,building_238,16.4483980509,75.2194912826,4.5730587897
building_060,building_253,30.507140757,109.4243235886,3.5868429775
building_062,building_067,29.1134323809,102.124166196,3.5078023388
building_062,building_216,24.1435349906,89.6179311922,3.7118810989
building_063,building_064,27.317446789,101.7677597505,3.7253759671
building_063,building_105,31.5191876536,111.0126322037,3.5220651441
building_063,building_128,22.6093847319,83.7423438907,3.7038753988
building_063,building_136,22.9599125269,84.7183954073,3.6898396415
building_063,building_204,30.0425920701,108.6014335944,3.6149155619
building_063,building_206,33.0599834434,121.9273393911,3.6880641395
building_063,building_215,1.5550054206,35.1672090975,22.6154897164
building_063,building_252,17.188045329,64.4810351156,3.7515048327
building_063,building_263,17.4321977826,73.7069228655,4.2282059775
building_064,building_105,23.6701000211,85.3240062884,3.6047167613
building_064,building_128,29.6471114067,110.6250368433,3.7313934341
building_064,building_167,20.993204753,84.149109499,4.0083975024
building_064,building_206,1.1834999991,34.3537237373,29.027227515
building_065,building_155,27.0215422804,100.5731923204,3.7219634348
building_065,building_156,2.6148000075,31.2003998235,11.9322318088
building_065,building_188,26.9933843647,98.3023320687,3.6417194206
building_065,building_210,22.1072218204,81.3633956103,3.6803989335
building_065,building_219,26.1593259617,100.5098297233,3.8422178718
building_065,building_228,26.1484058338,97.4141765983,3.7254346295
building_067,building_169,13.7285667237,55.9571511175,4.0759645376
building_067,building_197,12.2319193016,62.3096720092,5.0940224893
building_067,building_216,28.485914926,110.6244209257,3.8834778947
building_067,building_254,21.9341956405,82.0779591488,3.7420090754
building_069,building_074,29.7925871082,104.9612705526,3.5230666666
building_069,building_109,15.5166476744,67.5647595563,4.354339995
building_069,building_110,15.8027471514,69.7038526575,4.4108693248
building_069,building_170,21.0663727615,84.1793226723,3.995909672
building_069,building_171,1.420248485,35.6208155359,25.0806925069
building_069,building_208,1.1969570877,32.5733949775,27.2135027329
building_069,building_263,30.8954550072,107.5876244716,3.4823123481
building_069,building_269,20.5929143198,87.7300167121,4.2602040367
building_070,building_093,30.5984273271,109.4304699068,3.5763429518
building_070,building_100,14.7845285088,64.3929607007,4.3554287621
building_070,building_103,24.5154268861,94.0591410354,3.8367327427
building_070,building_111,12.838603336,54.0857586339,4.212744737
building_070,building_226,3.5866076048,33.9043991122,9.4530550447
building_070,building_245,13.2859907019,68.470626278,5.15359583
building_070,building_247,30.2274534376,115.4194810824,3.8183660202
building_070,building_271,1.2999134429,37.7726062201,29.0577856742
building_072,building_074,27.5569802384,103.6705637148,3.7620436934
building_072,building_106,1.6316066556,33.9023155438,20.7784856887
building_072,building_117,27.8932545717,103.6975683194,3.7176575452
building_072,building_170,24.5832819672,85.9002870777,3.494256267
building_072,building_183,15.5425130332,59.2577665683,3.8126245377
building_072,building_213,29.1258520551,101.5505930153,3.4866136387
building_072,building_256,13.0381309677,65.271294625,5.0061849192
building_072,building_257,29.2999510916,109.0533149016,3.7219623528
building_073,building_076,33.1381204469,97.8388394234,2.9524559059
building_073,building_087,7.1312515422,47.7893048632,6.7013909943
building_073,building_114,33.2270453928,103.4925229914,3.1147073647
building_073,building_141,1.4201692413,18.9058324337,13.3123798802
building_073,building_142,23.1862315005,72.8341766514,3.141268414
building_073,building_175,28.7627962612,96.7649264024,3.3642391902
building_073,building_176,12.0740275356,44.869978002,3.7162394959
building_073,building_211,30.3081039923,114.1168281104,3.7652249095
building_073,building_218,22.4769007038,88.2929018224,3.9281617597
building_073,building_227,11.7851781365,51.630185484,4.3809423062
