building_id,source_component_id,original_centroid_x_m,original_centroid_y_m,transformed_centroid_x_m,transformed_centroid_y_m,centroid_spacing_scale,footprint_scale_xy,foundation_z_m,roof_z_m,height_above_ground_m,roof_z_difference_from_source_m
building_210,1482,143.5193021382,-1.965586304,358.7982553456,-4.91396576,2.5,2.5,-0.05,43.9705882353,43.9705882353,26.1317603965
building_211,1483,105.4619689898,114.7031825968,263.6549224746,286.757956492,2.5,2.5,-0.05,32.3529411765,32.3529411765,18.2503770739
building_212,1486,-31.7160861022,-27.064067683,-79.2902152554,-67.6601692075,2.5,2.5,-0.05,41.3235294118,41.3235294118,24.3638224521
building_213,1487,-150.6340526189,18.6968997178,-376.5851315471,46.7422492946,2.5,2.5,-0.05,40.5882352941,40.5882352941,23.8849385908
building_214,1491,103.1382961751,-2.8949620817,257.8457404378,-7.2374052042,2.5,2.5,-0.05,47.2058823529,47.2058823529,28.2681534152
building_215,1493,-181.6633695568,-80.8571455965,-454.158423892,-202.1428639913,2.5,2.5,-0.05,49.2647058824,49.2647058824,29.4844861022
building_216,1494,228.4320040942,-103.310922271,571.0800102356,-258.2773056774,2.5,2.5,-0.05,32.6470588235,32.6470588235,18.4712346477
building_217,1496,-229.0963107969,-15.4148023422,-572.7407769922,-38.5370058556,2.5,2.5,-0.05,47.5,47.5,28.3791208791
building_218,1503,127.2941904399,106.7862259748,318.2354760998,266.9655649369,2.5,2.5,-0.05,23.6764705882,23.6764705882,12.5775694893
building_219,1507,142.6827938828,-31.0789936375,356.7069847069,-77.6974840937,2.5,2.5,-0.05,28.2352941176,28.2352941176,15.4880413703
building_220,1508,-159.1127502495,90.5383232462,-397.7818756238,226.3458081155,2.5,2.5,-0.05,40.1470588235,40.1470588235,23.7001723766
building_221,1513,188.4605912316,221.0752785887,471.1514780791,552.6881964718,2.5,2.5,-0.05,35.8823529412,35.8823529412,20.6808877397
building_223,1518,-168.4881920126,216.4504817186,-421.2204800316,541.1262042964,2.5,2.5,-0.05,21.0294117647,21.0294117647,10.7730015083
building_224,1519,174.0971539381,220.8089549836,435.2428848452,552.0223874589,2.5,2.5,-0.05,25,25,13.3516483516
building_226,1525,-2.5137981923,10.2647069958,-6.2844954809,25.6617674894,2.5,2.5,-0.05,49.1176470588,49.1176470588,29.4106873518
building_227,1530,178.4427667874,147.8203479985,446.1069169685,369.5508699962,2.5,2.5,-0.05,30.7352941176,30.7352941176,17.0722904546
building_228,1531,228.0886460959,1.3644062223,570.2216152397,3.4110155558,2.5,2.5,-0.05,47.6470588235,47.6470588235,28.4529196294
building_229,1533,-182.8543623562,-40.1576266725,-457.1359058905,-100.3940666813,2.5,2.5,-0.05,20.1470588235,20.1470588235,10.1104287869
